TransactionID,Transaction Date,Transaction Amount,Notes,Transaction Type,Entity,TransactionTypeID
326,2017-07-10,-50,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
327,2017-07-10,-3.4,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
328,2017-07-11,-109.3,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
329,2017-07-11,-9.99,-,Miscellaneous Payment  ,PAYPAL                       ,25
330,2017-07-13,-37.99,-,POS Purchase           ,ALCOOL NB LIQUOR  #045   FREDE,23
331,2017-07-13,-100,-,ABM Withdrawal,NULL,NULL
332,2017-07-13,-6.68,-,Miscellaneous Payment  ,PAYPAL                       ,25
333,2017-07-17,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
334,2017-07-17,-72.71,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
335,2017-07-17,-2.75,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
336,2017-07-17,-4.14,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
337,2017-07-17,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
338,2017-07-17,-65,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
339,2017-07-18,-4.31,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
340,2017-07-20,-6.1,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
341,2017-07-21,594.73,-,Payroll Deposit        ,BKR Management Inc.          ,17
342,2017-07-21,-11.93,-,POS Purchase           ,FPOS A&W #7111           FREDE,27
343,2017-07-21,-35.99,-,POS Purchase           ,FPOS ALCOOL NB LIQUOR  #0FREDE,23
344,2017-07-24,-4.14,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
345,2017-07-24,-5.96,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
346,2017-07-24,-3.74,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
347,2017-07-25,-5.28,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
348,2017-07-25,-38.75,-,Miscellaneous Payment  ,PAYPAL                       ,25
349,2017-07-27,-41.92,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
350,2017-07-28,-35.99,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
351,2017-07-31,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
352,2017-07-31,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
353,2017-07-31,-13.95,-,Service Charge         ,MONTHLY FEES,9
354,2017-07-31,-100,-,ABM Withdrawal,NULL,NULL
355,2017-07-31,-4.14,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
356,2017-08-01,-27.55,-,POS Purchase           ,FPOS DOMINO'S PIZZA #1090FREDE,27
357,2017-08-02,-5,-,Overdrawn Handling Chg.,NULL,NULL
358,2017-08-02,-290,15,Cheque                 ,NULL,21
359,2017-08-04,703.01,-,Payroll Deposit        ,BKR Management Inc.          ,17
360,2017-08-04,-162,-,POS Purchase           ,SNB - BRISTOL            FLORE,NULL
361,2017-08-07,-5.5,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
362,2017-08-11,-41.59,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
363,2017-08-11,-37.84,-,POS Purchase           ,FPOS CINEPLEX #6111      FREDE,NULL
364,2017-08-14,-85,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
365,2017-08-14,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
366,2017-08-14,-50,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
367,2017-08-14,-10.92,-,POS Purchase           ,FPOS LITTLE CAESER       FREDE,27
368,2017-08-14,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
369,2017-08-14,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
370,2017-08-15,-22.38,-,Miscellaneous Payment  ,PAYPAL                       ,25
371,2017-08-15,-7.29,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
372,2017-08-15,-19.06,-,Miscellaneous Payment  ,PAYPAL                       ,25
373,2017-08-16,-3.5,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
374,2017-08-18,-1,-,Service Charge         ,PC-EMAIL MONEY TRF,9
375,2017-08-18,-30.35,-,POS Purchase           ,GRECO PIZZA              FREDE,27
376,2017-08-18,705.54,-,Payroll Deposit        ,BKR Management Inc.          ,17
377,2017-08-18,-40,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
378,2017-08-19,-399.15,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
379,2017-08-21,-3.32,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
380,2017-08-21,-35.7,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
381,2017-08-24,-43.03,-,POS Purchase           ,HANWELL ROAD IRVING #1   HANWE,5
382,2017-08-25,-17.74,-,POS Purchase           ,PIZZA DELIGHT PROSPECT   FREDE,27
383,2017-08-26,-1.5,-,Service Charge         ,NULL,9
384,2017-08-26,-24,-,ABM Withdrawal,NULL,NULL
385,2017-08-28,-4.42,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
386,2017-08-28,-1.38,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
387,2017-08-28,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
388,2017-08-29,-6.43,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE,27
389,2017-08-29,-80,-,ABM Withdrawal,NULL,NULL
390,2017-08-30,-7.46,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
391,2017-08-31,-13.95,-,Service Charge         ,MONTHLY FEES,9
392,2017-08-31,-5,-,Overdrawn Handling Chg.,NULL,NULL
393,2017-08-31,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
394,2017-08-31,-0.22,-,Overdraft Interest     ,NULL,NULL
395,2017-09-01,609.06,-,Payroll Deposit        ,BKR Management Inc.          ,17
396,2017-09-05,-5,-,Overdrawn Handling Chg.,NULL,NULL
397,2017-09-05,-290,16,Cheque                 ,NULL,21
398,2017-09-05,40,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
399,2017-09-07,60,-,DEPOSIT                ,PC-EMAIL MONEY TRF,NULL
400,2017-09-07,-25,-,POS Purchase           ,OPOS FINANCIAL AND CONSUMSAINT,NULL
401,2017-09-11,-5,-,Overdrawn Handling Chg.,NULL,NULL
402,2017-09-11,-21,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
403,2017-09-11,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
404,2017-09-12,-9.99,-,Miscellaneous Payment  ,PAYPAL                       ,25
405,2017-09-12,-5,-,Overdrawn Handling Chg.,NULL,NULL
406,2017-09-15,-20.02,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
407,2017-09-15,512.29,-,Payroll Deposit        ,BKR Management Inc.          ,17
408,2017-09-15,-45,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
409,2017-09-15,-260,-,ABM Withdrawal,NULL,NULL
410,2017-09-15,-47.06,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
411,2017-09-15,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
412,2017-09-16,-10.34,-,POS Purchase           ,FPOS CINEPLEX #6111      FREDE,NULL
413,2017-09-16,-9.07,-,POS Purchase           ,VANELLIS MVS074          FREDE,27
414,2017-09-18,-36.7,-,POS Purchase           ,OPOS Amazon *Marketplce CWWW.A,11
415,2017-09-18,139.25,-,Student Loan           ,CANADA                       ,29
416,2017-09-18,-57.42,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
417,2017-09-18,-22.99,-,POS Purchase           ,OPOS Amazon *Marketplce CWWW.A,11
418,2017-09-19,-44.19,-,POS Purchase           ,SOBEYS #849        QPS   FREDE,8
419,2017-09-19,4674,-,Student Loan           ,NB STUDENT LOAN              ,29
420,2017-09-19,-1,-,POS Purchase           ,OPOS Amazon.ca Prime Membamazo,11
421,2017-09-20,-260,-,ABM Withdrawal,NULL,NULL
422,2017-09-20,1,-,Correction             ,OPOS AMZ PRIMESUBSCRIPTIOAMAZO,15
423,2017-09-21,-10.25,-,POS Purchase           ,OPOS CINEPLEX #8030 WEB QTORON,NULL
424,2017-09-21,-11.05,-,POS Purchase           ,FPOS CINEPLEX #6111      FREDE,NULL
425,2017-09-23,-23.13,-,POS Purchase           ,PAPA JOHN'S PIZZA        FREDE,27
426,2017-09-25,-8.02,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
427,2017-09-25,-44.76,-,POS Purchase           ,OPOS Amazon.ca           Seatt,11
428,2017-09-26,-188.25,-,POS Purchase           ,#284 SPORT CHEK          FREDE,NULL
429,2017-09-26,-39.62,-,POS Purchase           ,JUNGLE JIM'S EATERY -    FREDE,27
430,2017-09-26,-68.98,-,POS Purchase           ,MARK'S STORE             FREDE,NULL
431,2017-09-30,-32.3,-,POS Purchase           ,RINGO'S BAR & GRILL      FREDE,27
432,2017-09-30,-0.09,-,Overdraft Interest     ,NULL,NULL
433,2017-09-30,-34.47,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
434,2017-09-30,-12.64,-,POS Purchase           ,SUBWAY # 20599           FREDE,27
435,2017-10-02,-25,-,POS Purchase           ,OPOS FINANCIAL AND CONSUMSAINT,NULL
436,2017-10-02,-12.28,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
437,2017-10-03,-9.53,-,POS Purchase           ,UNIVERSITY OF NEW BR     FREDE,NULL
438,2017-10-03,-137,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
439,2017-10-04,-91.99,-,POS Purchase           ,OPOS Amazon.ca           Seatt,11
440,2017-10-04,-290,17,Cheque                 ,NULL,21
441,2017-10-05,166.64,-,Provincial Payment     ,CANADA                       ,18
442,2017-10-06,-32,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
443,2017-10-10,-40,-,POS Purchase           ,FPOS ULTRAMAR #12659     BATH ,5
444,2017-10-10,-15.62,-,POS Purchase           ,FPOS MCDONALD'S #17867   WOODS,27
445,2017-10-10,-4.99,-,POS Purchase           ,OPOS Spotify P03AF1197D  Stock,31
446,2017-10-10,-48.67,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
447,2017-10-11,-5.97,-,POS Purchase           ,FPOS TIM HORTONS #1705# QFREDE,27
448,2017-10-11,-76,-,POS Purchase           ,FPOS CIRCLE K / IRVING #QWAASI,5
449,2017-10-11,-27.97,-,POS Purchase           ,LINCOLN BIG STOP         WAASI,27
450,2017-10-12,-200,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
451,2017-10-12,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
452,2017-10-12,-19.52,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
453,2017-10-16,-3.89,-,POS Purchase           ,FPOS UNIVERSITY OF NEW BRFREDE,NULL
454,2017-10-16,-24.72,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
455,2017-10-17,-55.63,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
456,2017-10-17,-22.93,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
457,2017-10-17,-100,-,ABM Withdrawal,NULL,NULL
458,2017-10-19,90.85,-,POS Return             ,OPOS Amazon.ca Prime Membamazo,11
459,2017-10-19,-90.85,-,POS Purchase           ,OPOS Amazon.ca Prime Membamazo,11
460,2017-10-20,-1.94,-,POS Purchase           ,FPOS UNIVERSITY OF NEW BRFREDE,NULL
461,2017-10-23,-8.15,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
462,2017-10-24,-51.87,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
463,2017-10-24,-15.53,-,POS Purchase           ,FPOS A&W #7218           FREDE,27
464,2017-10-25,-28.74,-,POS Purchase           ,FPOS CINEPLEX #6111      FREDE,NULL
465,2017-10-27,-3.08,-,POS Purchase           ,FPOS UNIVERSITY OF NEW BRFREDE,NULL
466,2017-10-30,-26.77,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE,27
467,2017-10-31,-50.58,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
468,2017-10-31,-12.65,-,POS Purchase           ,LITTLE CAESER            FREDE,27
469,2017-11-02,-290,18,Cheque                 ,NULL,21
470,2017-11-02,-136.57,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
471,2017-11-04,-120,-,ABM Withdrawal,NULL,NULL
472,2017-11-06,-14.09,-,POS Purchase           ,FPOS A&W #7218           FREDE,27
473,2017-11-06,-12.06,-,POS Purchase           ,FPOS CINEPLEX #6111      FREDE,NULL
474,2017-11-06,-53,-,POS Purchase           ,OPOS CINEPLEX #8030 WEB QTORON,NULL
475,2017-11-07,-98.12,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
476,2017-11-07,-11.25,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE,27
477,2017-11-07,-2.17,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE,27
478,2017-11-08,-28.23,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
479,2017-11-08,-5.01,-,POS Purchase           ,FPOS GIANT TIGER #175    FREDE,NULL
480,2017-11-09,-40.02,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
481,2017-11-10,-4.99,-,POS Purchase           ,OPOS Spotify P03F977A59  Stock,31
482,2017-11-14,-54.48,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
483,2017-11-14,-14.03,-,POS Purchase           ,FPOS A&W #7218           FREDE,27
484,2017-11-14,-4.03,-,POS Purchase           ,FPOS DOLLARAMA # 337     FREDE,NULL
485,2017-11-14,-50,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
486,2017-11-14,0,-,Service Charge         ,PC-FREE EMAIL MONEY TRF,9
487,2017-11-14,-40.02,-,POS Purchase           ,FPOS GRAB N GO WATERVILLEWATER,5
488,2017-11-16,-46.57,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
489,2017-11-18,-15.38,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE,27
490,2017-11-21,-56.8,-,POS Purchase           ,FPOS SOBEYS #849        QFREDE,8
491,2017-11-22,-200,-,ABM Withdrawal,NULL,NULL
492,2017-11-23,-13.03,-,POS Purchase           ,FPOS TIM HORTONS #2131# QFREDE,27
493,2017-11-23,50,-,DEPOSIT                ,PC-EMAIL MONEY TRF,NULL
494,2017-11-24,-44.45,-,Miscellaneous Payment  ,PAYPAL                       ,25
495,2017-11-27,-35.07,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
496,2017-11-27,-17.88,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
497,2017-11-27,-40,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
498,2017-11-28,-52.67,-,POS Purchase           ,FPOS SOBEYS #849        QFREDE,8
499,2017-11-30,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
500,2017-11-30,-75,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
501,2017-12-01,-18.1,-,POS Purchase           ,FPOS GRECO PIZZA         FREDE,27
502,2017-12-04,60,-,DEPOSIT                ,PC-EMAIL MONEY TRF,NULL
503,2017-12-04,-10.2,-,POS Purchase           ,FPOS TIM HORTONS #0176# QFREDE,27
504,2017-12-05,-290,19,Cheque                 ,NULL,21
505,2017-12-05,-70.31,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
506,2017-12-05,-35.99,-,POS Purchase           ,FPOS HANWELL ROAD IRVING HANWE,5
507,2017-12-06,-73.82,-,POS Purchase           ,OPOS Amazon *Marketplce CWWW.A,11
508,2017-12-06,-74.58,-,POS Purchase           ,OPOS Amazon *Marketplce CWWW.A,11
509,2017-12-06,-14.99,-,POS Purchase           ,OPOS Amazon *Marketplce CWWW.A,11
510,2017-12-06,-21.94,-,POS Purchase           ,OPOS Amazon *Marketplce CWWW.A,11
511,2017-12-08,-14.49,-,POS Purchase           ,PAPA GEORGIOS PIZZA      FREDE,27
512,2017-12-09,-30.75,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
513,2017-12-11,-4.99,-,POS Purchase           ,OPOS Spotify P0448C0A90  Stock,31
514,2017-12-11,-8.87,-,POS Purchase           ,FPOS TIM HORTONS #0176# QFREDE,27
515,2017-12-12,-21.79,-,POS Purchase           ,LINCOLN BIG STOP         WAASI,27
516,2017-12-13,-12.62,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
517,2017-12-13,-6.64,-,Miscellaneous Payment  ,PAYPAL                       ,25
518,2017-12-16,-41,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
519,2017-12-16,-10.34,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE,27
520,2017-12-18,-10.11,-,POS Purchase           ,FPOS TIM HORTONS #0276# QFREDE,27
521,2017-12-18,-9.2,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE,27
522,2017-12-18,-75,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
523,2017-12-18,0,-,Service Charge         ,PC-FREE EMAIL MONEY TRF,9
524,2017-12-19,-39.1,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
525,2017-12-19,-27.59,-,POS Purchase           ,OPOS DOMINO'S PIZZA #1090FREDE,27
526,2017-12-19,-3.8,-,Miscellaneous Payment  ,PAYPAL                       ,25
527,2017-12-20,-150,-,POS Purchase           ,WINGO'S RESTAURANT       WOODS,14
528,2017-12-21,-3.45,-,Miscellaneous Payment  ,PAYPAL                       ,25
529,2017-12-22,0,-,Service Charge         ,PC-FREE EMAIL MONEY TRF,9
530,2017-12-22,-12.64,-,POS Purchase           ,DINER DOWN UNDER         BATH ,27
531,2017-12-22,-110,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
532,2018-01-02,-1.94,-,POS Purchase           ,FPOS TIM HORTONS #2853# QBRIST,27
533,2018-01-02,-4.58,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
534,2018-01-03,1171,-,DEPOSIT                ,NULL,NULL
535,2018-01-03,-45,-,WITHDRAWAL             ,NULL,NULL
536,2018-01-03,-81.79,-,POS Purchase           ,OPOS DOMINO'S PIZZA #1090FREDE,27
537,2018-01-03,-42.26,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
538,2018-01-03,-5.7,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
539,2018-01-04,-290,20,Cheque                 ,NULL,21
540,2018-01-04,-35.99,-,POS Purchase           ,FPOS ALCOOL NB LIQUOR  #0FREDE,23
541,2018-01-05,-93,-,POS Purchase           ,OPOS CINEPLEX #8030 WEB QTORON,NULL
542,2018-01-05,166.64,-,Provincial Payment     ,CANADA                       ,18
543,2018-01-06,-19.4,-,POS Purchase           ,FPOS CINEPLEX #6110      DIEPP,NULL
544,2018-01-06,-17.02,-,POS Purchase           ,FPOS SOBEYS #849        QFREDE,8
545,2018-01-06,-18.91,-,POS Purchase           ,ROTISSERIE ST HUBERT 0   MONCT,27
546,2018-01-06,-8.01,-,POS Purchase           ,FPOS TIM HORTONS #0739   OROMO,27
547,2018-01-06,-72.01,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
548,2018-01-06,-39.49,-,POS Purchase           ,FPOS ALCOOL NB LIQUOR  #0FREDE,23
549,2018-01-08,-11.16,-,POS Purchase           ,FPOS A&W #7111           FREDE,27
550,2018-01-08,35,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
551,2018-01-08,-18.38,-,POS Purchase           ,THE SOURCE #56360        FREDE,NULL
552,2018-01-09,-34.49,-,POS Purchase           ,FPOS EB GAMES 1809       FREDR,NULL
553,2018-01-09,-5.74,-,Miscellaneous Payment  ,PAYPAL                       ,25
554,2018-01-09,-74.38,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
555,2018-01-09,-51,-,POS Purchase           ,FPOS AITKEN CENTER       FREDE,NULL
556,2018-01-09,3498.25,-,Student Loan           ,NB STUDENT LOAN              ,29
557,2018-01-10,-4.99,-,POS Purchase           ,OPOS Spotify P049993208  Stock,31
558,2018-01-11,-13.44,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE,27
559,2018-01-11,-2.99,-,POS Purchase           ,FPOS SHOPPERS DRUG MART #FREDE,NULL
560,2018-01-13,-33.28,-,POS Purchase           ,OPOS DOMINO'S PIZZA #1090FREDE,27
561,2018-01-13,-2.17,-,POS Purchase           ,FPOS TIM HORTONS #0276# QFREDE,27
562,2018-01-15,-27.34,-,POS Purchase           ,CHECKER DELIVERIES       RICHI,NULL
563,2018-01-15,-6.48,-,Miscellaneous Payment  ,PAYPAL                       ,25
564,2018-01-16,-58.78,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
565,2018-01-17,-25.1,-,POS Purchase           ,EASTSIDE MARIOS #8794    FREDE,27
566,2018-01-18,-19.48,-,POS Purchase           ,OPOS DOMINO'S PIZZA #1090FREDE,27
567,2018-01-19,-200,-,ABM Withdrawal,NULL,NULL
568,2018-01-19,-35.99,-,POS Purchase           ,FPOS ALCOOL NB LIQUOR  #0FREDE,23
569,2018-01-19,-12.59,-,POS Purchase           ,FPOS A&W #7218           FREDE,27
570,2018-01-20,-3.22,-,POS Purchase           ,THE GOODY SHOP           FREDE,27
571,2018-01-20,-21.22,-,POS Purchase           ,OPOS DOMINO'S PIZZA #1090FREDE,27
572,2018-01-22,-32.77,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
573,2018-01-22,-13.31,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
574,2018-01-23,-71.64,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
575,2018-01-25,-4.32,-,POS Purchase           ,FPOS CINEPLEX #6111      FREDE,NULL
576,2018-01-26,-4.58,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
577,2018-01-27,-2.75,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
578,2018-01-27,-27.7,-,POS Purchase           ,HILLTOP GRILL & BEVERAGE FREDE,27
579,2018-01-29,-3.54,-,POS Purchase           ,FPOS TIM HORTONS #0276# QFREDE,27
580,2018-01-30,-34.78,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
581,2018-02-01,-40,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
582,2018-02-01,-16.27,-,POS Purchase           ,FPOS SUBWAY # 22010      FREDE,27
583,2018-02-01,-290,21,Cheque                 ,NULL,21
584,2018-02-02,-27.6,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
585,2018-02-03,-18.88,-,POS Purchase           ,RINGO'S BAR & GRILL      FREDE,27
586,2018-02-03,-37.93,-,POS Purchase           ,CANADIAN TIRE #0035      FREDE,NULL
587,2018-02-05,-5.38,-,POS Purchase           ,FPOS TIM HORTONS #0276# QFREDE,27
588,2018-02-06,-115.95,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
589,2018-02-08,-27.59,-,POS Purchase           ,OPOS DOMINO'S PIZZA #1090FREDE,27
590,2018-02-10,-4.99,-,POS Purchase           ,OPOS Spotify P04E533203  Stock,31
591,2018-02-12,0,-,Service Charge         ,PC-FREE EMAIL MONEY TRF,9
592,2018-02-12,-80,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
593,2018-02-12,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
594,2018-02-12,-36.23,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
595,2018-02-12,-7,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
596,2018-02-12,-40,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
597,2018-02-12,-6.51,-,Miscellaneous Payment  ,PAYPAL                       ,25
598,2018-02-12,-10.35,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE,27
599,2018-02-13,-28.21,-,POS Purchase           ,PORTERS DINER            HANWE,27
600,2018-02-13,-1.85,-,POS Purchase           ,FPOS UNIV OF NEW BRUNSWICFREDE,NULL
601,2018-02-13,-79.09,-,POS Purchase           ,FPOS COSTCO WHOLESALE W10FREDE,NULL
602,2018-02-13,-48.01,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
603,2018-02-16,-140,-,ABM Withdrawal,NULL,NULL
604,2018-02-17,-39.75,-,POS Purchase           ,OPOS CINEPLEX #8030 WEB QTORON,NULL
605,2018-02-17,-40.03,-,POS Purchase           ,FPOS HANWELL ROAD IRVING HANWE,5
606,2018-02-17,-10.79,-,POS Purchase           ,FPOS MCDONALD'S #1808    FREDE,27
607,2018-02-19,-43.15,-,POS Purchase           ,GRECO PIZZA              FREDE,27
608,2018-02-20,-23.23,-,POS Purchase           ,OPOS 17.99 THICK ASS GLASHORSH,NULL
609,2018-02-22,-13.23,-,POS Purchase           ,FPOS PAPA JOHN'S PIZZA   FREDE,27
610,2018-02-22,-6.46,-,POS Purchase           ,THE GOODY SHOP           FREDE,27
611,2018-02-24,-9.07,-,POS Purchase           ,FPOS TIM HORTONS #0276# QFREDE,27
612,2018-02-24,-16.09,-,POS Purchase           ,GRECO PIZZA              FREDE,27
613,2018-02-26,-30.76,-,Miscellaneous Payment  ,PAYPAL                       ,25
614,2018-02-26,-5.5,-,POS Purchase           ,FPOS BLACK'S            QHARVE,NULL
615,2018-02-26,15,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
616,2018-02-26,12,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
617,2018-02-27,-3.45,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE,27
618,2018-02-27,33,-,DEPOSIT                ,PC-EMAIL MONEY TRF,NULL
619,2018-02-27,-15.51,-,Miscellaneous Payment  ,PAYPAL                       ,25
620,2018-02-28,-104.72,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
621,2018-03-01,-154.6,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
622,2018-03-01,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
623,2018-03-01,-290,22,Cheque                 ,NULL,21
624,2018-03-02,-3.1,-,POS Purchase           ,FPOS UNIV OF NEW BRUNSWICFREDE,NULL
625,2018-03-03,-12.65,-,POS Purchase           ,BURGER KING #23282       FREDE,27
626,2018-03-05,-44.8,-,POS Purchase           ,FPOS CIRCLE K / IRVING  QFREDE,5
627,2018-03-05,-9.82,-,POS Purchase           ,FPOS TIM HORTONS #2853# QBRIST,27
628,2018-03-10,-4.99,-,POS Purchase           ,OPOS Spotify P0536B296E  Stock,31
629,2018-03-12,-27.7,-,POS Purchase           ,HILLTOP GRILL & BEVERAGE FREDE,27
630,2018-03-12,-21.83,-,POS Purchase           ,OPOS 16.50 THICK ASS GLASHORSH,NULL
631,2018-03-13,-6.63,-,Miscellaneous Payment  ,PAYPAL                       ,25
632,2018-03-13,-87.89,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
633,2018-03-13,-10.97,-,POS Purchase           ,FPOS A&W #7218           FREDE,27
634,2018-03-16,-9.2,-,POS Purchase           ,FPOS A&W #7218           FREDE,27
635,2018-03-17,-2.17,-,POS Purchase           ,FPOS TIM HORTONS #2598   WOODS,27
636,2018-03-17,-7.45,-,POS Purchase           ,FPOS TIM HORTONS #2131# QFREDE,27
