QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Crucible of the Spirit Dragon; Fate Reforged; ; 0; ; 1; 0; 0; R; 0.5328; Land; "{T}: Add {C}.
{1}, {T}: Put a storage counter on Crucible of the Spirit Dragon.
{T}, Remove X storage counters from Crucible of the Spirit Dragon: Add X mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons."; "• You can use mana generated by the last ability to pay an alternative cost (such as a dash cost) or an additional cost to cast a Dragon spell. It's not limited to paying just that spell's mana cost.
• An activated ability appears in the form Cost: Effect.
• Notably, turning a face-down creature face up isn't an activated ability. If you manifest a Dragon creature card or cast a Dragon creature card face down using the morph ability, you can't use mana generated by the last ability to turn that card face up.
• The mana generated by the last ability can't be spent to activate abilities of Dragon sources that aren't on the battlefield."
1x; Luminate Primordial; Gatecrash; ; 7; 5WW; 1; 7; 4; R; 0.51948; Creature - Avatar; "Vigilance
When Luminate Primordial enters the battlefield, for each opponent, exile up to one target creature that player controls and that player gains life equal to its power."; "• You can choose a number of targets up to the number of opponents you have, one target per opponent.
• To determine how much life each opponent gains, use the power of the creature that opponent controlled as it last existed on the battlefield."
1x; Trap Digger; Scourge; ; 4; 3W; 1; 3; 1; R; 0.51948; Creature - Human Soldier; "{2}{W}, {T}: Put a trap counter on target land you control.
Sacrifice a land with a trap counter on it: Trap Digger deals 3 damage to target attacking creature without flying."; ""
1x; Dictate of Heliod; Duel Decks: Elspeth vs. Kiora; ; 5; 3WW; 1; 0; 0; R; 0.51948; Enchantment; "Flash
Creatures you control get +2/+2."; ""
1x; Abhorrent Overlord; Theros; ; 7; 5BB; 1; 6; 6; R; 0.51948; Creature - Demon; "Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature."; "• Numeric mana symbols ({0}, {1}, and so on) in mana costs of permanents you control don't count toward your devotion to any color.
• Mana symbols in the text boxes of permanents you control don't count toward your devotion to any color.
• Hybrid mana symbols, monocolored hybrid mana symbols, and Phyrexian mana symbols do count toward your devotion to their color(s).
• If an activated ability or triggered ability has an effect that depends on your devotion to a color, you count the number of mana symbols of that color among the mana costs of permanents you control as the ability resolves. The permanent with that ability will be counted if it's still on the battlefield at that time."
1x; Halo Hunter; Zendikar; ; 5; 2BBB; 1; 3; 6; R; 0.51948; Creature - Demon; "Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
When Halo Hunter enters the battlefield, destroy target Angel."; "• Intimidate looks at the current colors of a creature that has it. Normally, Halo Hunter can't be blocked except by artifact creatures and/or black creatures. If it's turned white, then it can't be blocked except by artifact creatures and/or white creatures.
• If an attacking creature has intimidate, what colors it is matters only as the defending player declares blockers. Once it's blocked, changing its colors won't change that.
• Halo Hunter's triggered ability isn't optional. When it enters the battlefield, if you're the only player that controls an Angel, you'll have to target an Angel you control."
1x; Murderous Betrayal; Eighth Edition; ; 3; BBB; 1; 0; 0; R; 0.51948; Enchantment; "{B}{B}, Pay half your life, rounded up: Destroy target nonblack creature. It can't be regenerated."; ""
1x; Invader Parasite; New Phyrexia; ; 5; 3RR; 1; 2; 3; R; 0.51948; Creature - Insect; "Imprint - When Invader Parasite enters the battlefield, exile target land.
Whenever a land with the same name as the exiled card enters the battlefield under an opponent's control, Invader Parasite deals 2 damage to that player."; ""
1x; Zada, Hedron Grinder; Battle for Zendikar; ; 4; 3R; 1; 3; 3; R; 0.51948; Legendary Creature - Goblin Ally; "Whenever you cast an instant or sorcery spell that targets only Zada, Hedron Grinder, copy that spell for each other creature you control that the spell could target. Each copy targets a different one of those creatures."; "• Zada's ability triggers whenever you cast an instant or sorcery spell that targets only Zada and no other object or player.
• If you cast an instant or sorcery spell that has multiple targets, but it's targeting only Zada with all of them, Zada's ability will trigger. The copies will similarly each be targeting only one of your other creatures. You can't change any of the copy's targets to other creatures.
• Any creature you control that couldn't be targeted by the original spell (due to shroud, protection abilities, targeting restrictions, or any other reason) is just ignored by Zada's ability.
• You control all the copies. You choose the order the copies are put onto the stack. The original spell will be on the stack beneath those copies and will resolve last.
• The copies that the ability creates are created on the stack, so they're not cast. Abilities that trigger when a player casts a spell (like Zada's ability itself) won't trigger.
• If the spell that's copied is modal (that is, it says Choose one - or the like), the copies will have the same mode. You can't choose a different one.
• If the spell that's copied has an X whose value was determined as it was cast (like Rolling Thunder does), the copies have the same value of X.
• The controller of a copy can't choose to pay any alternative or additional costs for the copy. However, effects based on any alternative or additional costs that were paid for the original spell are copied as though those same costs were paid for the copy."
1x; Ignite Memories; Time Spiral; ; 5; 4R; 1; 0; 0; U; 0.51948; Sorcery; "Target player reveals a card at random from their hand. Ignite Memories deals damage to that player equal to that card's converted mana cost.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"; "• The copies are put directly onto the stack. They aren't cast and won't be counted by other spells with storm cast later in the turn.
• Spells cast from zones other than a player's hand and spells that were countered are counted by the storm ability.
• A copy of a spell can be countered like any other spell, but it must be countered individually. Countering a spell with storm won't affect the copies.
• The triggered ability that creates the copies can itself be countered by anything that can counter a triggered ability. If it is countered, no copies will be put onto the stack.
• You may choose new targets for any of the copies. You can choose differently for each copy."
1x; Caustic Caterpillar; Magic Origins; ; 1; G; 1; 1; 1; C; 0.51948; Creature - Insect; "{1}{G}, Sacrifice Caustic Caterpillar: Destroy target artifact or enchantment."; ""
1x; Wolfcaller's Howl; Commander 2014; ; 4; 3G; 1; 0; 0; R; 0.51948; Enchantment; "At the beginning of your upkeep, create X 2/2 green Wolf creature tokens, where X is the number of your opponents with four or more cards in hand."; "• Use the number of opponents who have four or more cards in hand as the ability resolves to determine the value of X."
1x; Savage Summoning; Magic 2014 Core Set; ; 1; G; 1; 0; 0; R; 0.51948; Instant; "This spell can't be countered.
The next creature card you cast this turn can be cast as though it had flash. That spell can't be countered. That creature enters the battlefield with an additional +1/+1 counter on it."; "• You don't choose a creature card when Savage Summoning resolves. Rather, it applies to the next creature card you cast that turn, even if you cast it at a time when you normally could cast a creature and even if you cast it from a zone other than your hand.
• If you cast multiple Savage Summonings in succession, they'll apply to the next creature spell you cast. That creature will enter the battlefield with that many additional +1/+1 counters on it.
• Spells that would counter Savage Summoning or the relevant creature spell can still be cast. They won't counter the spell, but any additional effects they have will happen."
1x; Fungal Sprouting; Magic 2013; ; 4; 3G; 1; 0; 0; U; 0.51948; Sorcery; "Create X 1/1 green Saproling creature tokens, where X is the greatest power among creatures you control."; "• Fungal Sprouting doesn't target any creature. The greatest power among creatures you control is determined when Fungal Sprouting resolves."
1x; Scuttling Doom Engine; Magic 2015; ; 6; 6; 1; 6; 6; R; 0.51948; Artifact Creature - Construct; "Scuttling Doom Engine can't be blocked by creatures with power 2 or less.
When Scuttling Doom Engine dies, it deals 6 damage to target opponent or planeswalker."; "• Once Scuttling Doom Engine has been blocked by a creature, reducing that creature's power to 2 or less won't change or undo that block."
1x; Circle of Solace; Onslaught; ; 4; 3W; 1; 0; 0; R; 0.50616; Enchantment; "As Circle of Solace enters the battlefield, choose a creature type.
{1}{W}: The next time a creature of the chosen type would deal damage to you this turn, prevent that damage."; ""
4x; Clone; Magic 2010; ; 4; 3U; 4; 0; 0; R; 2.02464; Creature - Shapeshifter; "You may have Clone enter the battlefield as a copy of any creature on the battlefield."; "• If the chosen creature is copying something else (for example, if the chosen creature is another Clone), then your Clone enters the battlefield as whatever the chosen creature copied.
• If the chosen creature is a token, Clone copies the original characteristics of that token as stated by the effect that put it onto the battlefield. Clone is not a token.
• Any enters-the-battlefield abilities of the copied creature will trigger when Clone enters the battlefield. Any as [this creature] enters the battlefield or [this creature] enters the battlefield with abilities of the chosen creature will also work.
• If the chosen creature has {X} in its mana cost (such as Protean Hydra), X is considered to be zero.
• Clone copies exactly what was printed on the original creature and nothing more (unless that creature is copying something else or is a token; see below). It doesn't copy whether that creature is tapped or untapped, whether it has any counters on it or Auras attached to it, or any non-copy effects that have changed its power, toughness, types, color, or so on.
• If Clone somehow enters the battlefield at the same time as another creature, Clone can't become a copy of that creature. You may choose only a creature that's already on the battlefield.
• You can choose not to copy anything. In that case, Clone enters the battlefield as a 0/0 Shapeshifter creature, and is probably put into the graveyard immediately.
• Clone's ability doesn't target the chosen creature."
1x; Wonder; Commander 2013 Edition; ; 4; 3U; 1; 2; 2; U; 0.50616; Creature - Incarnation; "Flying
As long as Wonder is in your graveyard and you control an Island, creatures you control have flying."; ""
1x; Bog Elemental; Prophecy; ; 5; 3BB; 1; 4; 5; R; 0.50616; Creature - Elemental; "Protection from white
At the beginning of your upkeep, sacrifice Bog Elemental unless you sacrifice a land."; ""
1x; Mindwarper; Stronghold; ; 4; 2BB; 1; 0; 0; R; 0.50616; Creature - Spirit; "Mindwarper enters the battlefield with three +1/+1 counters on it.
{2}{B}, Remove a +1/+1 counter from Mindwarper: Target player discards a card. Activate this ability only any time you could cast a sorcery."; ""
1x; Sanguine Praetor; Guildpact; ; 8; 6BB; 1; 5; 7; R; 0.50616; Creature - Avatar Praetor; "{B}, Sacrifice a creature: Destroy each creature with the same converted mana cost as the sacrificed creature."; ""
2x; Shivan Dragon; Magic 2015; ; 6; 4RR; 2; 5; 5; R; 1.01232; Creature - Dragon; "Flying (This creature can't be blocked except by creatures with flying or reach.)
{R}: Shivan Dragon gets +1/+0 until end of turn."; ""
1x; Word of Seizing; Commander 2014; ; 5; 3RR; 1; 0; 0; R; 0.50616; Instant; "Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Untap target permanent and gain control of it until end of turn. It gains haste until end of turn."; "• Players still get priority while a card with split second is on the stack.
• Split second doesn't prevent players from activating mana abilities.
• Split second doesn't prevent triggered abilities from triggering. If one does, its controller puts it on the stack and chooses targets for it, if any. Those abilities will resolve as normal.
• Split second doesn't prevent players from performing special actions. Notably, players may turn face-down creatures face up while a spell with split second is on the stack.
• Casting a spell with split second won't affect spells and abilities that are already on the stack.
• If the resolution of a triggered ability involves casting a spell, that spell can't be cast if a spell with split second is on the stack."
1x; Elemental Appeal; Zendikar; ; 4; RRRR; 1; 0; 0; R; 0.50616; Sorcery; "Kicker {5} (You may pay an additional {5} as you cast this spell.)
Create a 7/1 red Elemental creature token with trample and haste. Exile it at the beginning of the next end step. If this spell was kicked, that creature gets +7/+0 until end of turn."; "• If Elemental Appeal was kicked, it creates a 7/1 token with trample and haste that gets +7/+0 until end of turn. It doesn't create a 14/1 token. This matters in case something copies that token (the copy will be just 7/1), or in case Elemental Appeal is somehow cast during an end step (in which case the +7/+0 lasts just for that turn)."
2x; Mizzium Mortars; Return to Ravnica; ; 2; 1R; 2; 0; 0; R; 1.01232; Sorcery; "Mizzium Mortars deals 4 damage to target creature you don't control.
Overload {3}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of "target" with "each.")"; "• If you don't pay the overload cost of a spell, that spell will have a single target. If you pay the overload cost, the spell won't have any targets.
• Because a spell with overload doesn't target when its overload cost is paid, it may affect permanents with hexproof or with protection from the appropriate color.
• Note that if the spell with overload is dealing damage, protection from that spell's color will still prevent that damage.
• Overload doesn't change when you can cast the spell.
• Casting a spell with overload doesn't change that spell's mana cost. You just pay the overload cost instead.
• Effects that cause you to pay more or less for a spell will cause you to pay that much more or less while casting it for its overload cost, too.
• If you are instructed to cast a spell with overload without paying its mana cost, you can't choose to pay its overload cost instead."
1x; Sejiri Refuge; Commander 2013 Edition; ; 0; ; 1; 0; 0; U; 0.50616; Land; "Sejiri Refuge enters the battlefield tapped.
When Sejiri Refuge enters the battlefield, you gain 1 life.
{T}: Add {W} or {U}."; ""
1x; Angel of Glory's Rise; Media Inserts; Foil; 7; 5WW; 1; 6; 4; S; 0.49284; Creature - Angel; "Flying
When Angel of Glory's Rise enters the battlefield, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield."; "• Only Zombie permanents on the battlefield are exiled. Zombie cards in other zones are not."
1x; Mercurial Pretender; Magic 2015; ; 5; 4U; 1; 0; 0; R; 0.49284; Creature - Shapeshifter; "You may have Mercurial Pretender enter the battlefield as a copy of any creature you control, except it gains "{2}{U}{U}: Return this creature to its owner's hand.""; "• Mercurial Pretender's ability doesn't target the chosen creature.
• The activated ability Mercurial Pretender gives itself becomes part of its copiable values. Unless the ability is overwritten by another copy effect, a creature that's a copy of Mercurial Pretender will have that ability.
• Mercurial Pretender copies exactly what was printed on the original creature and nothing more (unless that creature is copying something else or is a token; see below). It doesn't copy whether that creature is tapped or untapped, whether it has any counters on it or Auras attached to it, or any non-copy effects that have changed its power, toughness, types, color, etc. For example, if Mercurial Pretender enters the battlefield as a copy of a Profane Memento with Ensoul Artifact attached to it, Mercurial Pretender will be a noncreature Profane Memento with Mercurial Pretender's added activated ability.
• If the chosen creature has {X} in its mana cost (such as Genesis Hydra), X is 0.
• If the chosen creature is copying something else (for example, if the chosen creature is another Mercurial Pretender), then Mercurial Pretender enters the battlefield as whatever the chosen creature is copying (plus any abilities it gained as part of the copying process, if applicable).
• If the chosen creature is a token, Mercurial Pretender copies the original characteristics of that token as stated by the effect that put the token onto the battlefield. Mercurial Pretender is not a token, even when copying one.
• Any enters-the-battlefield abilities of the copied creature will trigger when Mercurial Pretender enters the battlefield. Any as [this creature] enters the battlefield or [this creature] enters the battlefield with abilities of the chosen creature will also work.
• If Mercurial Pretender somehow enters the battlefield at the same time as another creature, Mercurial Pretender can't become a copy of that creature. You may choose only a creature that's already on the battlefield.
• You can choose not to copy anything. In that case, Mercurial Pretender enters the battlefield as a 0/0 Shapeshifter creature, and is probably put into the graveyard immediately."
1x; Supplant Form; Fate Reforged; ; 6; 4UU; 1; 0; 0; R; 0.49284; Instant; "Return target creature to its owner's hand. You create a token that's a copy of that creature."; "• The token copies exactly what was printed on the creature and nothing else (unless that creature was copying something else or was a token; see below). It doesn't copy whether that creature was tapped or untapped, whether it had any counters on it or Auras and/or Equipment attached to it, or any non-copy effects that changed its power, toughness, types, color, and so on.
• If you return a face-down creature to its owner's hand, the token will be a face-up colorless 2/2 creature with no name, no abilities, and no creature types. (The face-down creature card will be revealed to all players as it leaves the battlefield.)
• If the copied creature had {X} in its mana cost, X is 0.
• If the copied creature was copying something else, the token enters the battlefield as whatever that creature was copying.
• If the copied creature is a token, the token created by Supplant Form copies the original characteristics of that token as stated by the effect that put it onto the battlefield.
• Any enters-the-battlefield abilities of the copied creature will trigger when the token enters the battlefield. Any As [this creature] enters the battlefield or [This creature] enters the battlefield with abilities of the copied creature will also work."
1x; Necropolis Fiend; Clash Pack; Foil; 9; 7BB; 1; 5; 4; S; 0.49284; Creature - Demon; "Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Flying
{X}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn."; "• The rules for delve have changed slightly since it was last in an expansion. Previously, delve reduced the cost to cast a spell. Under the current rules, you exile cards from your graveyard at the same time you pay the spell's cost. Exiling a card this way is simply another way to pay that cost.
• Delve doesn't change a spell's mana cost or converted mana cost. For example, Dead Drop's converted mana cost is 10 even if you exiled three cards to cast it.
• You can't exile cards to pay for the colored mana requirements of a spell with delve.
• You can't exile more cards than the generic mana requirement of a spell with delve. For example, you can't exile more than nine cards from your graveyard to cast Dead Drop.
• Because delve isn't an alternative cost, it can be used in conjunction with alternative costs."
1x; Damnable Pact; Dragons of Tarkir; ; 2; XBB; 1; 0; 0; R; 0.49284; Sorcery; "Target player draws X cards and loses X life."; ""
1x; Dregs of Sorrow; Commander 2014; ; 5; X4B; 1; 0; 0; R; 0.49284; Sorcery; "Destroy X target nonblack creatures. Draw X cards."; "• X can be zero."
1x; Spawn of Thraxes; Journey into Nyx; ; 7; 5RR; 1; 5; 5; R; 0.49284; Creature - Dragon; "Flying
When Spawn of Thraxes enters the battlefield, it deals damage to any target equal to the number of Mountains you control."; "• Count the number of Mountains you control when the last ability resolves to determine how much damage is dealt. This includes any land with the subtype Mountain, not just those named Mountain."
1x; Drumhunter; Commander 2013 Edition; ; 4; 3G; 1; 2; 2; U; 0.49284; Creature - Human Druid Warrior; "At the beginning of your end step, if you control a creature with power 5 or greater, you may draw a card.
{T}: Add {C}."; "• The first ability has an intervening if' clause. That means (1) the ability won't trigger at all unless you control a creature with power 5 or greater as your end step begins, and (2) the ability will do nothing if you don't control a creature with power 5 or greater by the time it resolves. (It doesn't have to be the same creature as the one that allowed the ability to trigger.) Power-boosting effects that last until end of turn will still be in effect when this kind of ability triggers and resolves. An ability like this will trigger a maximum of once per turn, no matter how many applicable creatures you control."
1x; Tower of Calamities; Scars of Mirrodin; ; 4; 4; 1; 0; 0; R; 0.49284; Artifact; "{8}, {T}: Tower of Calamities deals 12 damage to target creature."; ""
1x; Simic Sky Swallower; Duel Decks: Elspeth vs. Kiora; ; 7; 5GU; 1; 6; 6; R; 0.49284; Creature - Leviathan; "Flying, trample
Shroud (This creature can't be the target of spells or abilities.)"; ""
1x; Geist-Honored Monk; Innistrad; ; 5; 3WW; 1; 0; 0; R; 0.47952; Creature - Human Monk; "Vigilance
Geist-Honored Monk's power and toughness are each equal to the number of creatures you control.
When Geist-Honored Monk enters the battlefield, create two 1/1 white Spirit creature tokens with flying."; "• The ability that defines Geist-Honored Monk's power and toughness works in all zones, not just the battlefield.
• As long as Geist-Honored Monk is on the battlefield, its second ability will count itself."
1x; Kemba, Kha Regent; Commander 2014; ; 3; 1WW; 1; 4; 2; R; 0.47952; Legendary Creature - Cat Cleric; "At the beginning of your upkeep, create a 2/2 white Cat creature token for each Equipment attached to Kemba, Kha Regent."; "• The number of Equipment attached to Kemba is determined as the ability resolves. If Kemba is no longer on the battlefield at that time, its last existence on the battlefield is checked to determine the number of Equipment attached to it."
1x; Metathran Aerostat; Invasion; ; 4; 2UU; 1; 2; 2; R; 0.47952; Creature - Metathran; "Flying
{X}{U}: You may put a creature card with converted mana cost X from your hand onto the battlefield. If you do, return Metathran Aerostat to its owner's hand."; "• You can activate the ability in response to itself and get more than one creature card onto the battlefield before this returns to its owner's hand."
1x; Agent of the Fates; Theros; ; 3; 1BB; 1; 2; 3; R; 0.47952; Creature - Human Assassin; "Deathtouch
Heroic - Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature."; "• Heroic abilities will resolve before the spell that caused them to trigger.
• Heroic abilities will trigger only once per spell, even if that spell targets the creature with the heroic ability multiple times.
• Heroic abilities won't trigger when a copy of a spell is created on the stack or when a spell's targets are changed to include a creature with a heroic ability."
1x; Defiant Bloodlord; Battle for Zendikar; ; 7; 5BB; 1; 5; 4; R; 0.47952; Creature - Vampire; "Flying
Whenever you gain life, target opponent loses that much life."; "• The ability triggers just once for each life-gaining event, whether it's 1 life from Drana's Emissary or 7 life from Nissa's Renewal.
• A creature with lifelink dealing combat damage is a single life-gaining event. For example, if two creatures you control with lifelink deal combat damage at the same time, the ability will trigger twice. However, if a single creature with lifelink deals combat damage to multiple creatures, players, and/or planeswalkers at the same time (perhaps because it has trample or was blocked by more than one creature), the ability will trigger only once.
• In a Two-Headed Giant game, life gained by your teammate won't cause the ability to trigger, even though it causes your team's life total to increase."
1x; Wit's End; Magic 2013; ; 7; 5BB; 1; 0; 0; R; 0.47952; Sorcery; "Target player discards their hand."; ""
1x; Flowstone Slide; Nemesis; ; 4; X2RR; 1; 0; 0; R; 0.47952; Sorcery; "All creatures get +X/-X until end of turn."; ""
1x; Mob Rule; Fate Reforged; ; 6; 4RR; 1; 0; 0; R; 0.47952; Sorcery; "Choose one -
 Gain control of all creatures with power 4 or greater until end of turn. Untap those creatures. They gain haste until end of turn.
 Gain control of all creatures with power 3 or less until end of turn. Untap those creatures. They gain haste until end of turn."; "• You choose which mode you're using as you cast Mob Rule. Once it's cast, you can't change its mode, even if creatures' powers change in response.
• Once you gain control of a creature, it doesn't matter what happens to its power.
• Mob Rule can affect creatures you already control or ones that are already untapped. It will untap them if applicable and give them haste.
• Gaining control of a creature doesn't cause you to gain control of any Auras or Equipment attached to it."
1x; Silklash Spider; Commander 2014; ; 5; 3GG; 1; 7; 2; R; 0.47952; Creature - Spider; "Reach
{X}{G}{G}: Silklash Spider deals X damage to each creature with flying."; ""
1x; Living Artifact; Fifth Edition; ; 1; G; 1; 0; 0; R; 0.47952; Enchantment - Aura; "Enchant artifact
Whenever you're dealt damage, put that many vitality counters on Living Artifact.
At the beginning of your upkeep, you may remove a vitality counter from Living Artifact. If you do, you gain 1 life."; "• You can cast it targeting your opponent's artifacts. The controller of the Aura (not the controller of the artifact) controls the Living Artifact ability.
• Does not trigger on loss of life, just on damage."
1x; Spawning Grounds; Commander 2013 Edition; ; 8; 6GG; 1; 0; 0; R; 0.47952; Enchantment - Aura; "Enchant land
Enchanted land has "{T}: Create a 5/5 green Beast creature token with trample.""; ""
1x; Composite Golem; Tenth Edition; ; 6; 6; 1; 4; 4; U; 0.47952; Artifact Creature - Golem; "Sacrifice Composite Golem: Add {W}{U}{B}{R}{G}."; ""
1x; Selesnya Signet; Commander 2013 Edition; ; 2; 2; 1; 0; 0; C; 0.47952; Artifact; "{1}, {T}: Add {G}{W}."; ""
1x; Surveyor's Scope; Commander 2013 Edition; ; 2; 2; 1; 0; 0; R; 0.47952; Artifact; "{T}, Exile Surveyor's Scope: Search your library for up to X basic land cards, where X is the number of players who control at least two more lands than you. Put those cards onto the battlefield, then shuffle your library."; "• You count the number of players who control at least two more lands than you when the ability resolves.
• If no players control at least two more lands than you when the ability resolves, you'll still search and shuffle your library."
1x; Azorius First-Wing; Dissension; Foil; 2; WU; 1; 2; 2; C; 0.47952; Creature - Griffin; "Flying, protection from enchantments"; "• Protection from enchantments means that Azorius First-Wing can't be enchanted, it can't be targeted by Aura spells or by abilities of enchantments, all damage that would be dealt to it by enchantments is prevented, and it can't be blocked by creatures that are also enchantments.
• If an effect tries to move an Aura onto this creature, the effect will fail and the Aura will stay where it was.
• Azorius First-Wing doesn't have protection from creatures that are enchanted."
1x; Vivid Crag; Commander 2013 Edition; ; 0; ; 1; 0; 0; U; 0.47952; Land; "Vivid Crag enters the battlefield tapped with two charge counters on it.
{T}: Add {R}.
{T}, Remove a charge counter from Vivid Crag: Add one mana of any color."; ""
1x; Geist-Honored Monk; Commander 2014; ; 5; 3WW; 1; 0; 0; R; 0.4662; Creature - Human Monk; "Vigilance
Geist-Honored Monk's power and toughness are each equal to the number of creatures you control.
When Geist-Honored Monk enters the battlefield, create two 1/1 white Spirit creature tokens with flying."; "• The ability that defines Geist-Honored Monk's power and toughness works in all zones, not just the battlefield.
• As long as Geist-Honored Monk is on the battlefield, its second ability will count itself."
1x; Hixus, Prison Warden; Magic Origins; ; 5; 3WW; 1; 4; 4; R; 0.4662; Legendary Creature - Human Soldier; "Flash (You may cast this spell any time you could cast an instant.)
Whenever a creature deals combat damage to you, if Hixus, Prison Warden entered the battlefield this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)"; "• Hixus's ability causes a zone change with a duration, a style of ability that's somewhat reminiscent of older cards like Oblivion Ring. However, unlike Oblivion Ring, cards like Hixus have a single ability that creates two one-shot effects: one that exiles the creature when the ability resolves, and another that returns the exiled card to the battlefield immediately after Hixus leaves the battlefield.
• If Hixus leaves the battlefield before its triggered ability resolves, the creature that dealt combat damage to you won't be exiled.
• Auras attached to the exiled creatures will be put into their owners' graveyards. Equipment attached to the exiled creatures will become unattached and remain on the battlefield. Any counters on the exiled creatures will cease to exist.
• If a creature token is exiled, it ceases to exist. It won't be returned to the battlefield.
• The exiled cards return to the battlefield immediately after Hixus leaves the battlefield. Nothing happens between the two events, including state-based actions.
• In a multiplayer game, if Hixus's owner leaves the game, the exiled cards will return to the battlefield. Because the one-shot effect that returns the cards isn't an ability that goes on the stack, it won't cease to exist along with the leaving player's spells and abilities on the stack."
1x; Jeskai Barricade; Fate Reforged; ; 2; 1W; 1; 4; 0; U; 0.4662; Creature - Wall; "Flash (You may cast this spell any time you could cast an instant.)
Defender
When Jeskai Barricade enters the battlefield, you may return another target creature you control to its owner's hand."; ""
1x; Selfless Exorcist; Judgment; ; 5; 3WW; 1; 4; 3; R; 0.4662; Creature - Human Cleric; "{T}: Exile target creature card from a graveyard. That card deals damage equal to its power to Selfless Exorcist."; "• The reminder text printed on Selfless Exorcist is no longer correct. Abilities that define a creature's power (and toughness) apply in every zone. The value of * is defined by such an ability."
1x; Convalescent Care; Onslaught; ; 3; 1WW; 1; 0; 0; R; 0.4662; Enchantment; "At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card."; ""
1x; Fate Forgotten; Dragons of Tarkir; Foil; 3; 2W; 1; 0; 0; C; 0.4662; Instant; "Exile target artifact or enchantment."; ""
1x; Fated Retribution; Born of the Gods; ; 7; 4WWW; 1; 0; 0; R; 0.4662; Instant; "Destroy all creatures and planeswalkers. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"; "• When you scry, you may put all the cards you look at back on top of your library, you may put all of those cards on the bottom of your library, or you may put some of those cards on top and the rest of them on the bottom.
• You choose how to order cards returned to your library after scrying no matter where you put them.
• You perform the actions stated on a card in sequence. For some spells and abilities, that means you'll scry last. For others, that means you'll scry and then perform other actions.
• Scry appears on some spells and abilities with one or more targets. If all of the spell or ability's targets are illegal when it tries to resolve, it won't resolve and none of its effects will happen. You won't scry."
2x; Valorous Stance; Fate Reforged; ; 2; 1W; 2; 0; 0; U; 0.9324; Instant; "Choose one -
 Target creature gains indestructible until end of turn.
 Destroy target creature with toughness 4 or greater."; ""
1x; Sudden Disappearance; Dark Ascension; ; 6; 5W; 1; 0; 0; R; 0.4662; Sorcery; "Exile all nonland permanents target player controls. Return the exiled cards to the battlefield under their owner's control at the beginning of the next end step."; "• If Sudden Disappearance's delayed triggered ability is countered or otherwise removed from the stack after triggering, the exiled cards will remain in exile indefinitely. The delayed triggered ability will only trigger once."
1x; Tempt with Glory; Commander 2013 Edition; ; 6; 5W; 1; 0; 0; R; 0.4662; Sorcery; "Tempting offer - Put a +1/+1 counter on each creature you control. Each opponent may put a +1/+1 counter on each creature they control. For each opponent who does, put a +1/+1 counter on each creature you control."; "• Your opponents decide in turn order whether or not they accept the offer, starting with the opponent on your left. Each opponent will know the decisions of previous opponents in turn order when making their decision.
• After each opponent has decided, the effect happens simultaneously for each one who accepted the offer. Then, the effect happens again for you a number of times equal to the number of opponents who accepted."
1x; Battlefield Thaumaturge; Journey into Nyx; ; 2; 1U; 1; 1; 2; R; 0.4662; Creature - Human Wizard; "Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.
Heroic - Whenever you cast a spell that targets Battlefield Thaumaturge, Battlefield Thaumaturge gains hexproof until end of turn."; "• Battlefield Thaumaturge's first ability doesn't change that spell's mana cost or converted mana cost. It changes only the amount you actually pay (the total cost of the spell).
• To calculate the total cost of an instant or sorcery spell you're casting, start with the mana cost (or alternative cost, if applicable), add all cost increases (including additional costs such as those imposed by strive abilities), then subtract all cost reductions (such as the one created by Battlefield Thaumaturge's first ability).
• The cost reduction created by Battlefield Thaumaturge's first ability can reduce only the generic portion of the spell's total cost. Colored mana requirements aren't affected.
• The cost reduction is {1} per target creature, even if the spell targets a creature more than once.
• Heroic abilities will resolve before the spell that caused them to trigger.
• Heroic abilities will trigger only once per spell, even if that spell targets the creature with the heroic ability multiple times.
• Heroic abilities won't trigger when a copy of a spell is created on the stack or when a spell's targets are changed to include a creature with a heroic ability."
